table,category,rows,role,columns
aspect_profiles,calculation_reference,5,"Poids, valence et multiplicateurs des aspects.","id,aspect_id,intensity_weight,default_valence,orb_multiplier,phase_sensitive,micro_note"
aspects,reference,10,Referentiel des aspects et orbes par defaut.,"id,reference_version_id,code,name,angle,default_orb_deg"
astro_points,calculation_reference,4,Angles et points astrologiques utilises par les calculs.,"id,reference_version_id,code,name,point_type,is_enabled"
astrologer_profiles,interpretation_persona,6,Profils publics astrologues/personas.,"persona_id,first_name,last_name,display_name,gender,provider_type,age,photo_url,public_style_label,bio_short,bio_long,admin_category,specialties,specialties_details,professional_background,key_skills,behavioral_style,location,quote,mission_statement,ideal_for,metrics,is_public,sort_order,created_at,updated_at"
astrologer_prompt_profiles,interpretation_persona,6,Prompts specifiques aux astrologues/personas.,"id,persona_id,prompt_content,version,is_active,created_at,updated_at"
astrologer_reviews,interpretation_persona,0,Avis utilisateurs sur astrologues.,"id,user_id,user_alias,persona_id,rating,comment,tags,created_at,updated_at"
calibration_raw_days,calibration,0,Scores bruts journaliers pour construire la calibration.,"id,profile_label,local_date,category_code,raw_score,power,volatility,pivot_count,reference_version,ruleset_version,computed_at"
category_calibrations,calibration,0,Percentiles de calibration par categorie.,"id,ruleset_id,category_id,p05,p25,p50,p75,p95,calibration_label,sample_size,valid_from,valid_to"
chart_results,calculation_result,1,Resultats de theme natal/calcul astrologique persistés en JSON.,"id,user_id,chart_id,reference_version,ruleset_version,input_hash,result_payload,created_at"
consultation_templates,interpretation_template,5,Templates de consultations et prompts.,"id,key,icon_ref,title,subtitle,description,prompt_content,metadata_config,is_active,sort_order,created_at,updated_at"
daily_prediction_category_scores,calculation_result,108,Scores par categorie et contributeurs JSON.,"id,run_id,category_id,raw_score,normalized_score,note_20,power,volatility,score_20,intensity_20,confidence_20,rarity_percentile,level_day,dominance_day,stability_day,intensity_day,avg_score,max_score,min_score,rank,is_provisional,summary,contributors_json"
daily_prediction_runs,calculation_result,9,Runs de prediction quotidienne persistés.,"id,user_id,local_date,timezone,reference_version_id,ruleset_id,input_hash,engine_mode,engine_version,snapshot_version,evidence_pack_version,v3_metrics_json,llm_narrative_json,computed_at,house_system_effective,is_provisional_calibration,calibration_label,overall_summary,overall_tone,main_turning_point_at"
daily_prediction_time_blocks,calculation_result,72,Blocs horaires de prediction quotidienne.,"id,run_id,block_index,start_at_local,end_at_local,tone_code,dominant_categories_json,summary"
daily_prediction_turning_points,calculation_result,3,Points de bascule issus du moteur de prediction.,"id,run_id,occurred_at_local,event_type_id,severity,driver_json,summary"
editorial_template_versions,interpretation_template,0,Templates editoriaux versionnes.,"id,template_code,version_number,title,content,expected_tags,example_render,status,created_at,published_at,created_by_user_id"
enterprise_editorial_configs,interpretation_template,0,Configurations editoriales B2B.,"id,enterprise_account_id,version_number,is_active,tone,length_style,output_format,preferred_terms,avoided_terms,created_by_credential_id,created_at,updated_at"
house_category_weights,calculation_reference,24,Mapping maison vers categories.,"id,house_id,category_id,weight,routing_role"
house_profiles,calculation_reference,12,"Poids, priorites et mots-cles des maisons.","id,house_id,house_kind,visibility_weight,base_priority,keywords_json,micro_note"
houses,reference,24,Referentiel des maisons par version.,"id,reference_version_id,number,name"
llm_active_releases,interpretation_config,0,Release LLM active.,"id,release_snapshot_id,activated_at,activated_by"
llm_assembly_configs,interpretation_config,23,Assemblages feature/subfeature/plan/locale pour generation LLM.,"id,feature,subfeature,plan,locale,feature_template_ref,subfeature_template_ref,persona_ref,execution_profile_ref,plan_rules_ref,length_budget,status,created_by,created_at,published_at,feature_template_state,subfeature_template_state,persona_state,plan_rules_state,output_schema_id"
llm_call_log_operational_metadata,interpretation_observability,145,Metadonnees operationnelles appels LLM.,"id,call_log_id,pipeline_kind,execution_path_kind,fallback_kind,requested_provider,resolved_provider,executed_provider,context_quality,context_compensation_status,max_output_tokens_source,max_output_tokens_final,executed_provider_mode,attempt_count,provider_error_code,runtime_error_code,breaker_state,breaker_scope,active_snapshot_id,active_snapshot_version,manifest_entry_id"
llm_call_logs,interpretation_observability,145,Logs appels LLM.,"id,use_case,assembly_id,feature,subfeature,plan,template_source,prompt_version_id,persona_id,model,latency_ms,tokens_in,tokens_out,cost_usd_estimated,validation_status,repair_attempted,fallback_triggered,request_id,trace_id,input_hash,environment,evidence_warnings_count,timestamp,expires_at"
llm_canonical_consumption_aggregates,interpretation_observability,0,Agregats de consommation LLM.,"id,granularity,period_start_utc,user_id,subscription_plan,feature,subfeature,locale,executed_provider,active_snapshot_version,is_legacy_residual,tokens_in,tokens_out,total_tokens,cost_usd_estimated_microusd,call_count,latency_p50_ms,latency_p95_ms,error_rate_bps,refreshed_at"
llm_execution_profiles,interpretation_config,24,Profils execution modele LLM.,"id,name,provider,model,reasoning_profile,verbosity_profile,output_mode,tool_mode,max_output_tokens,timeout_seconds,fallback_profile_id,feature,subfeature,plan,status,created_at,created_by,published_at"
llm_output_schemas,interpretation_config,4,Schemas de sortie JSON des interpretations.,"id,name,json_schema,version,created_at"
llm_personas,interpretation_config,6,Personas LLM.,"id,code,name,description,tone,verbosity,style_markers,boundaries,allowed_topics,disallowed_topics,formatting,enabled,created_at,updated_at"
llm_prompt_version_fallback_archives,interpretation_config,0,Archives de fallback de versions de prompt.,"prompt_version_id,use_case_key,fallback_use_case_key,archived_at"
llm_prompt_versions,interpretation_config,17,Versions de prompts LLM.,"id,use_case_key,status,developer_prompt,created_by,created_at,published_at,fallback_use_case_key"
llm_release_snapshots,interpretation_config,123,Snapshots de release LLM actifs/publiables.,"id,version,manifest,status,created_by,created_at,validated_at,activated_at,comment"
llm_replay_snapshots,interpretation_observability,145,Snapshots de replay LLM chiffres.,"id,call_log_id,input_enc,expires_at"
llm_sample_payloads,interpretation_config,0,Payloads exemples pour LLM.,"id,name,feature,locale,payload_json,description,is_default,is_active,created_at,updated_at,subfeature,plan"
llm_use_case_configs,interpretation_config,18,"Configuration des use cases LLM, dont natal/interpretation.","key,display_name,description,required_prompt_placeholders,eval_fixtures_path,eval_failure_threshold,golden_set_path"
persona_configs,interpretation_template,0,Configurations de personas legacy/admin.,"id,version,profile_code,display_name,tone,prudence_level,scope_policy,response_style,fallback_policy,status,rollback_from_id,created_by_user_id,created_at"
planet_category_weights,calculation_reference,85,Mapping planete vers categories.,"id,planet_id,category_id,weight,influence_role"
planet_profiles,calculation_reference,10,"Poids, classes, orbes actives et mots-cles des planetes.","id,planet_id,class_code,speed_rank,speed_class,weight_intraday,weight_day_climate,typical_polarity,orb_active_deg,orb_peak_deg,keywords_json,micro_note"
planets,reference,20,Referentiel des planetes par version.,"id,reference_version_id,code,name"
point_category_weights,calculation_reference,8,Mapping points astrologiques vers categories.,"id,point_id,category_id,weight"
prediction_categories,calculation_reference,12,Categories de scoring et restitution prediction.,"id,reference_version_id,code,name,display_name,description,sort_order,is_public,is_enabled"
prediction_rulesets,ruleset,2,Parametrage global des calculs de prediction.,"id,version,reference_version_id,zodiac_type,coordinate_mode,house_system,time_step_minutes,description,is_locked,created_at"
reference_versions,reference,2,Versions de referentiels astrologiques.,"id,version,description,is_locked,created_at"
ruleset_event_types,ruleset,16,Types evenementiels astrologiques et poids de base.,"id,ruleset_id,code,name,event_group,priority,base_weight,description"
ruleset_parameters,ruleset,16,Parametres techniques/metier du moteur de prediction.,"id,ruleset_id,param_key,param_value,data_type"
sign_rulerships,calculation_reference,12,Maitrises de signes pour sensibilite natale.,"id,reference_version_id,sign_id,planet_id,rulership_type,weight,is_primary"
signs,reference,24,Referentiel des signes par version.,"id,reference_version_id,code,name"
user_natal_interpretations,interpretation_result,4,Interpretations natales utilisateur persistées.,"id,user_id,chart_id,level,use_case,variant_code,persona_id,persona_name,prompt_version_id,interpretation_payload,was_fallback,degraded_mode,created_at"
user_prediction_baselines,calibration,0,Baselines utilisateur pour normalisation des predictions.,"id,user_id,category_id,reference_version_id,ruleset_id,granularity_type,granularity_value,house_system_effective,window_days,window_start_date,window_end_date,mean_raw_score,std_raw_score,mean_note_20,std_note_20,p10,p50,p90,sample_size_days,computed_at"
