table,key,field,v1_value,v2_value,status,note
planets,jupiter,*,same,same,same,
planets,mars,*,same,same,same,
planets,mercury,*,same,same,same,
planets,moon,*,same,same,same,
planets,neptune,*,same,same,same,
planets,pluto,*,same,same,same,
planets,saturn,*,same,same,same,
planets,sun,*,same,same,same,
planets,uranus,*,same,same,same,
planets,venus,*,same,same,same,
signs,aquarius,*,same,same,same,
signs,aries,*,same,same,same,
signs,cancer,*,same,same,same,
signs,capricorn,*,same,same,same,
signs,gemini,*,same,same,same,
signs,leo,*,same,same,same,
signs,libra,*,same,same,same,
signs,pisces,*,same,same,same,
signs,sagittarius,*,same,same,same,
signs,scorpio,*,same,same,same,
signs,taurus,*,same,same,same,
signs,virgo,*,same,same,same,
houses,1,*,same,same,same,
houses,10,*,same,same,same,
houses,11,*,same,same,same,
houses,12,*,same,same,same,
houses,2,*,same,same,same,
houses,3,*,same,same,same,
houses,4,*,same,same,same,
houses,5,*,same,same,same,
houses,6,*,same,same,same,
houses,7,*,same,same,same,
houses,8,*,same,same,same,
houses,9,*,same,same,same,
aspects,conjunction,*,same,same,same,
aspects,opposition,*,same,same,same,
aspects,sextile,*,same,same,same,
aspects,square,*,same,same,same,
aspects,trine,*,same,same,same,
astro_points,asc,*,,"{""is_enabled"": ""1"", ""name"": ""Ascendant"", ""point_type"": ""angle""}",added_in_v2,
astro_points,dsc,*,,"{""is_enabled"": ""1"", ""name"": ""Descendant"", ""point_type"": ""angle""}",added_in_v2,
astro_points,ic,*,,"{""is_enabled"": ""1"", ""name"": ""Imum Coeli (IC)"", ""point_type"": ""angle""}",added_in_v2,
astro_points,mc,*,,"{""is_enabled"": ""1"", ""name"": ""Midheaven (MC)"", ""point_type"": ""angle""}",added_in_v2,
prediction_categories,career,*,,"{""description"": """", ""display_name"": ""Carrière"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Career"", ""sort_order"": ""5""}",added_in_v2,
prediction_categories,communication,*,,"{""description"": """", ""display_name"": ""Communication"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Communication"", ""sort_order"": ""11""}",added_in_v2,
prediction_categories,energy,*,,"{""description"": """", ""display_name"": ""Énergie"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Energy"", ""sort_order"": ""1""}",added_in_v2,
prediction_categories,family_home,*,,"{""description"": """", ""display_name"": ""Famille & Foyer"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Family & Home"", ""sort_order"": ""9""}",added_in_v2,
prediction_categories,health,*,,"{""description"": """", ""display_name"": ""Santé"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Health"", ""sort_order"": ""3""}",added_in_v2,
prediction_categories,love,*,,"{""description"": """", ""display_name"": ""Amour"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Love"", ""sort_order"": ""7""}",added_in_v2,
prediction_categories,money,*,,"{""description"": """", ""display_name"": ""Argent"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Money"", ""sort_order"": ""6""}",added_in_v2,
prediction_categories,mood,*,,"{""description"": """", ""display_name"": ""Humeur"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Mood"", ""sort_order"": ""2""}",added_in_v2,
prediction_categories,pleasure_creativity,*,,"{""description"": """", ""display_name"": ""Plaisir & Créativité"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Pleasure & Creativity"", ""sort_order"": ""12""}",added_in_v2,
prediction_categories,sex_intimacy,*,,"{""description"": """", ""display_name"": ""Intimité"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Sex & Intimacy"", ""sort_order"": ""8""}",added_in_v2,
prediction_categories,social_network,*,,"{""description"": """", ""display_name"": ""Réseau social"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Social Network"", ""sort_order"": ""10""}",added_in_v2,
prediction_categories,work,*,,"{""description"": """", ""display_name"": ""Travail"", ""is_enabled"": ""1"", ""is_public"": ""1"", ""name"": ""Work"", ""sort_order"": ""4""}",added_in_v2,
planet_profiles,jupiter,*,,"{""class_code"": ""social"", ""keywords_json"": ""[\""expansion\"", \""chance\"", \""philosophie\"", \""sagesse\"", \""optimisme\""]"", ""micro_note"": """", ""orb_active_deg"": ""2.5"", ""orb_peak_deg"": ""0.8"", ""speed_class"": ""slow"", ""speed_rank"": ""5"", ""typical_polarity"": ""positive"", ""weight_day_climate"": ""1"", ""weight_intraday"": ""0.4""}",added_in_v2,
planet_profiles,mars,*,,"{""class_code"": ""personal"", ""keywords_json"": ""[\""action\"", \""\\u00e9nergie\"", \""d\\u00e9sir\"", \""conflits\"", \""sexualit\\u00e9\""]"", ""micro_note"": """", ""orb_active_deg"": ""3"", ""orb_peak_deg"": ""1"", ""speed_class"": ""medium"", ""speed_rank"": ""4"", ""typical_polarity"": ""negative"", ""weight_day_climate"": ""0.9"", ""weight_intraday"": ""0.8""}",added_in_v2,
planet_profiles,mercury,*,,"{""class_code"": ""personal"", ""keywords_json"": ""[\""pens\\u00e9e\"", \""communication\"", \""analyse\"", \""adaptation\"", \""arbitrage\""]"", ""micro_note"": """", ""orb_active_deg"": ""3"", ""orb_peak_deg"": ""1"", ""speed_class"": ""fast"", ""speed_rank"": ""2"", ""typical_polarity"": ""neutral"", ""weight_day_climate"": ""0.7"", ""weight_intraday"": ""0.9""}",added_in_v2,
planet_profiles,moon,*,,"{""class_code"": ""luminary"", ""keywords_json"": ""[\""\\u00e9motions\"", \""instinct\"", \""humeur\"", \""inconscient\"", \""r\\u00e9ceptivit\\u00e9\""]"", ""micro_note"": """", ""orb_active_deg"": ""4.5"", ""orb_peak_deg"": ""1.2"", ""speed_class"": ""fast"", ""speed_rank"": ""0"", ""typical_polarity"": ""neutral"", ""weight_day_climate"": ""0.8"", ""weight_intraday"": ""1""}",added_in_v2,
planet_profiles,neptune,*,,"{""class_code"": ""transpersonal"", ""keywords_json"": ""[\""dissolution\"", \""spiritualit\\u00e9\"", \""illusion\"", \""id\\u00e9al\"", \""compassion\""]"", ""micro_note"": """", ""orb_active_deg"": ""2"", ""orb_peak_deg"": ""0.6"", ""speed_class"": ""slow"", ""speed_rank"": ""8"", ""typical_polarity"": ""neutral"", ""weight_day_climate"": ""0.4"", ""weight_intraday"": ""0.1""}",added_in_v2,
planet_profiles,pluto,*,,"{""class_code"": ""transpersonal"", ""keywords_json"": ""[\""transformation\"", \""pouvoir\"", \""mort-renaissance\"", \""profondeur\"", \""obsession\""]"", ""micro_note"": """", ""orb_active_deg"": ""2"", ""orb_peak_deg"": ""0.6"", ""speed_class"": ""slow"", ""speed_rank"": ""9"", ""typical_polarity"": ""neutral"", ""weight_day_climate"": ""0.3"", ""weight_intraday"": ""0.1""}",added_in_v2,
planet_profiles,saturn,*,,"{""class_code"": ""social"", ""keywords_json"": ""[\""structure\"", \""discipline\"", \""limites\"", \""responsabilit\\u00e9\"", \""karma\""]"", ""micro_note"": """", ""orb_active_deg"": ""2.5"", ""orb_peak_deg"": ""0.8"", ""speed_class"": ""slow"", ""speed_rank"": ""6"", ""typical_polarity"": ""negative"", ""weight_day_climate"": ""1"", ""weight_intraday"": ""0.3""}",added_in_v2,
planet_profiles,sun,*,,"{""class_code"": ""luminary"", ""keywords_json"": ""[\""identit\\u00e9\"", \""vitalit\\u00e9\"", \""volont\\u00e9\"", \""ego\"", \""cr\\u00e9ativit\\u00e9\""]"", ""micro_note"": """", ""orb_active_deg"": ""5"", ""orb_peak_deg"": ""1.5"", ""speed_class"": ""slow"", ""speed_rank"": ""1"", ""typical_polarity"": ""positive"", ""weight_day_climate"": ""1"", ""weight_intraday"": ""0.6""}",added_in_v2,
planet_profiles,uranus,*,,"{""class_code"": ""transpersonal"", ""keywords_json"": ""[\""rupture\"", \""originalit\\u00e9\"", \""innovation\"", \""libert\\u00e9\"", \""r\\u00e9volution\""]"", ""micro_note"": """", ""orb_active_deg"": ""2"", ""orb_peak_deg"": ""0.6"", ""speed_class"": ""slow"", ""speed_rank"": ""7"", ""typical_polarity"": ""neutral"", ""weight_day_climate"": ""0.5"", ""weight_intraday"": ""0.1""}",added_in_v2,
planet_profiles,venus,*,,"{""class_code"": ""personal"", ""keywords_json"": ""[\""amour\"", \""beaut\\u00e9\"", \""harmonie\"", \""plaisir\"", \""relation\""]"", ""micro_note"": """", ""orb_active_deg"": ""3"", ""orb_peak_deg"": ""1"", ""speed_class"": ""medium"", ""speed_rank"": ""3"", ""typical_polarity"": ""positive"", ""weight_day_climate"": ""0.8"", ""weight_intraday"": ""0.7""}",added_in_v2,
house_profiles,1,*,,"{""base_priority"": ""10"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""1""}",added_in_v2,
house_profiles,10,*,,"{""base_priority"": ""10"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""1""}",added_in_v2,
house_profiles,11,*,,"{""base_priority"": ""5"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.6""}",added_in_v2,
house_profiles,12,*,,"{""base_priority"": ""3"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.4""}",added_in_v2,
house_profiles,2,*,,"{""base_priority"": ""6"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.7""}",added_in_v2,
house_profiles,3,*,,"{""base_priority"": ""4"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.5""}",added_in_v2,
house_profiles,4,*,,"{""base_priority"": ""9"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.9""}",added_in_v2,
house_profiles,5,*,,"{""base_priority"": ""6"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.7""}",added_in_v2,
house_profiles,6,*,,"{""base_priority"": ""5"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.6""}",added_in_v2,
house_profiles,7,*,,"{""base_priority"": ""9"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.9""}",added_in_v2,
house_profiles,8,*,,"{""base_priority"": ""7"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.7""}",added_in_v2,
house_profiles,9,*,,"{""base_priority"": ""4"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.5""}",added_in_v2,
aspect_profiles,conjunction,*,,"{""default_valence"": ""contextual"", ""intensity_weight"": ""1.5"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,opposition,*,,"{""default_valence"": ""polarizing"", ""intensity_weight"": ""1.3"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""1""}",added_in_v2,
aspect_profiles,sextile,*,,"{""default_valence"": ""favorable"", ""intensity_weight"": ""0.8"", ""micro_note"": """", ""orb_multiplier"": ""0.9"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,square,*,,"{""default_valence"": ""challenging"", ""intensity_weight"": ""1.2"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,trine,*,,"{""default_valence"": ""favorable"", ""intensity_weight"": ""1"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
sign_rulerships,aquarius|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""saturn"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,aries|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mars"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,cancer|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""moon"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,capricorn|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""saturn"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,gemini|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mercury"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,leo|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""sun"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,libra|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""venus"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,pisces|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""jupiter"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,sagittarius|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""jupiter"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,scorpio|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mars"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,taurus|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""venus"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,virgo|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mercury"", ""weight"": ""1""}",added_in_v2,
planet_category_weights,jupiter|career,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,jupiter|communication,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,jupiter|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|money,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,jupiter|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mars|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mars|energy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,mars|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,mars|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mars|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|sex_intimacy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,mars|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,mercury|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mercury|communication,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,mercury|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mercury|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mercury|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,mercury|work,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,moon|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|family_home,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,moon|health,*,,"{""influence_role"": ""primary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,moon|love,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,moon|mood,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,moon|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,neptune|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,neptune|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,neptune|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,neptune|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,pluto|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,pluto|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,pluto|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,saturn|career,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,saturn|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,saturn|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,saturn|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,saturn|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,saturn|work,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,sun|career,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,sun|energy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,sun|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,sun|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,sun|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,sun|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,sun|pleasure_creativity,*,,"{""influence_role"": ""primary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,sun|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,uranus|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,uranus|communication,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,uranus|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,uranus|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,uranus|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,uranus|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,uranus|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,uranus|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,venus|communication,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,venus|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,venus|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,venus|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,venus|love,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,venus|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,venus|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,venus|pleasure_creativity,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,venus|sex_intimacy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,venus|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,1|energy,*,,"{""routing_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
house_category_weights,1|mood,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,10|career,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,10|work,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,11|pleasure_creativity,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
house_category_weights,11|social_network,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,12|health,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
house_category_weights,12|mood,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
house_category_weights,2|money,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,2|work,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
house_category_weights,3|communication,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,3|social_network,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
house_category_weights,4|family_home,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,4|mood,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
house_category_weights,5|love,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,5|pleasure_creativity,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,6|health,*,,"{""routing_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
house_category_weights,6|work,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.7""}",added_in_v2,
house_category_weights,7|love,*,,"{""routing_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
house_category_weights,7|social_network,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,8|money,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
house_category_weights,8|sex_intimacy,*,,"{""routing_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
house_category_weights,9|career,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
house_category_weights,9|pleasure_creativity,*,,"{""routing_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
point_category_weights,asc|energy,*,,"{""weight"": ""0.8""}",added_in_v2,
point_category_weights,asc|mood,*,,"{""weight"": ""0.7""}",added_in_v2,
point_category_weights,dsc|love,*,,"{""weight"": ""0.7""}",added_in_v2,
point_category_weights,dsc|social_network,*,,"{""weight"": ""0.6""}",added_in_v2,
point_category_weights,ic|family_home,*,,"{""weight"": ""0.9""}",added_in_v2,
point_category_weights,ic|mood,*,,"{""weight"": ""0.5""}",added_in_v2,
point_category_weights,mc|career,*,,"{""weight"": ""0.9""}",added_in_v2,
point_category_weights,mc|work,*,,"{""weight"": ""0.6""}",added_in_v2,
prediction_rulesets,1.0.0,*,"{""coordinate_mode"": ""geocentric"", ""description"": ""Ruleset legacy (v1) rattaché à la référence 2.0.0"", ""house_system"": ""placidus"", ""is_locked"": ""0"", ""time_step_minutes"": ""30"", ""zodiac_type"": ""tropical""}",,removed_in_v2,
prediction_rulesets,2.0.0,*,,"{""coordinate_mode"": ""geocentric"", ""description"": ""Ruleset canonique v2 rattaché à la référence 2.0.0"", ""house_system"": ""placidus"", ""is_locked"": ""0"", ""time_step_minutes"": ""30"", ""zodiac_type"": ""tropical""}",added_in_v2,
ruleset_event_types,asc_sign_change,*,same,same,same,
ruleset_event_types,aspect_enter_orb,*,same,same,same,
ruleset_event_types,aspect_exact_to_angle,*,same,same,same,
ruleset_event_types,aspect_exact_to_luminary,*,same,same,same,
ruleset_event_types,aspect_exact_to_personal,*,same,same,same,
ruleset_event_types,aspect_exit_orb,*,same,same,same,
ruleset_event_types,moon_sign_ingress,*,same,same,same,
ruleset_event_types,planetary_hour_change,*,same,same,same,
ruleset_parameters,normalization_method,*,same,same,same,
ruleset_parameters,orb_multiplier_applying,*,same,same,same,
ruleset_parameters,orb_multiplier_exact,*,same,same,same,
ruleset_parameters,orb_multiplier_separating,*,same,same,same,
ruleset_parameters,score_clamp_max,*,same,same,same,
ruleset_parameters,score_clamp_min,*,same,same,same,
ruleset_parameters,top_turning_points_count,*,same,same,same,
ruleset_parameters,turning_point_threshold,*,same,same,same,
